City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
470,vila velha,75,BR,1613009081,88,-20.3297,-40.2925,82,3.44
471,tiznit,0,MA,1613009083,85,29.5833,-9.5,54.03,0.92
472,aklavik,0,CA,1613009084,75,68.2191,-135.0107,-25.6,3.44
473,zeya,100,RU,1613009086,91,53.75,127.2667,6.04,5.97
474,changli,0,CN,1613009088,51,39.7042,119.1506,51.01,5.59
475,salekhard,100,RU,1613009090,83,66.53,66.6019,-19.55,6.87
476,laela,100,TZ,1613009092,97,-8.5667,32.05,60.82,3.6
477,sangar,100,RU,1613009095,87,63.9242,127.4739,-6.93,4.23
478,omsukchan,86,RU,1613009097,92,62.5333,155.8,8.42,4.83
479,hasaki,20,JP,1613008947,40,35.7333,140.8333,52,12.66
480,ahuimanu,75,US,1613009101,56,21.4447,-157.8378,77,8.05
481,yabassi,40,CM,1613009103,100,4.457,9.9682,78.8,2.3
482,kotri,54,PK,1613009105,28,25.366,68.3122,62.38,3.8
483,hailey,1,US,1613009107,59,43.5196,-114.3153,26.6,6.91
484,maragogi,7,BR,1613008910,84,-9.0122,-35.2225,78.28,10.45
485,kushiro,40,JP,1613009111,58,42.975,144.3747,24.8,1.14
486,cubuk,0,TR,1613009112,93,40.2386,33.0322,30.2,4.61
487,puerto leguizamo,85,CO,1613009114,72,-0.1934,-74.7819,78.67,2.42
488,yugo-kamskiy,20,RU,1613009116,68,57.7053,55.5894,-25.6,2.24
489,eyl,35,SO,1613009118,79,7.9803,49.8164,70.81,12.19
490,taboga,98,IT,1613009119,95,46.2663,13.1092,44.01,5.59
491,kultuk,100,RU,1613009121,91,51.7208,103.6956,14.41,3.29
492,paralimni,0,CY,1613009122,93,35.0375,33.9833,55.99,3.44
493,vila,100,PT,1613009123,96,42.0304,-8.1588,48,5.01
494,trinidad,100,BO,1613009124,97,-14.8333,-64.9,69.98,3.42
495,kutum,0,SD,1613009125,45,14.2,24.6667,58.06,8.5
496,camacha,40,PT,1613009127,88,33.0833,-16.3333,60.8,5.75
497,anloga,20,GH,1613009128,89,5.7947,0.8973,82.4,11.5
498,taltal,0,CL,1613009018,75,-25.4,-70.4833,65.1,2.55
499,mocuba,100,MZ,1613009132,98,-16.8392,36.9856,73.38,3.83
500,san patricio,90,US,1613009133,88,28.017,-97.5169,60.8,17.27
501,vanavara,87,RU,1613009135,90,60.34,102.2797,-11.47,3.15
502,itoman,75,JP,1613009136,72,26.1247,127.6694,66.2,23.02
503,atherton,0,GB,1613009137,70,53.5237,-2.4935,30,1.99
504,vangaindrano,99,MG,1613009138,89,-23.35,47.6,72.21,3.18
505,kyra,100,RU,1613009139,95,49.5776,111.9753,20.93,4.72
506,port augusta,100,AU,1613009141,19,-32.5,137.7667,100,27.63
507,ballina,75,AU,1613009142,65,-28.8667,153.5667,78.8,11.5
508,evansville,90,US,1613009119,74,37.9748,-87.5558,28,11.5
509,roma,1,US,1613009102,73,43.2128,-75.4557,17.01,3.44
510,jalingo,14,NG,1613008883,18,8.8833,11.3667,72.39,4.03
511,chumikan,77,RU,1613009148,87,54.7183,135.315,5.25,15.41
512,laramie,20,US,1613009122,51,41.3114,-105.5911,33.01,14.97
513,halden,0,NO,1613009150,79,59.1226,11.3871,16,5.75
514,huilong,100,CN,1613009152,97,31.8111,121.655,50,1.99
515,chipinge,53,ZW,1613009153,100,-20.1883,32.6236,62.24,2.26
516,inta,100,RU,1613009154,88,66.0317,60.1659,-19.3,7.72
517,khandyga,100,RU,1613008891,90,62.6667,135.6,0.9,0.34
518,marystown,66,CA,1613009013,89,47.1666,-55.1483,19.83,28.88
519,lahad datu,9,MY,1613009158,83,5.0268,118.327,81.73,4.34
520,nieves,75,PH,1613009159,74,15.3274,120.9485,82.4,2.3
521,kalmunai,22,LK,1613009160,78,7.4167,81.8167,71.28,7.25
522,meadow lake,75,US,1613009162,24,34.8014,-106.5436,53.6,12.66
523,salalah,0,OM,1613009163,38,17.0151,54.0924,73.4,6.91
524,evensk,35,RU,1613009164,90,61.95,159.2333,13.1,7.74
525,cabras,1,IT,1613009165,92,39.93,8.5314,46,20
526,caravelas,0,BR,1613009166,83,-17.7125,-39.2481,75.38,3.85
527,santa marta,20,CO,1613008939,54,11.2408,-74.199,84.99,11.5
528,neiafu,75,TO,1613009169,79,-18.65,-173.9833,84.2,10.36
529,yizheng,1,CN,1613009170,82,24.6706,103.4296,54,5.1
530,nanpiao,0,CN,1613009171,61,41.0982,120.7479,41,9.93
531,kupino,0,RU,1613009172,86,54.3663,77.2981,-29.42,5.19
532,kayerkan,0,RU,1613009174,79,69.3497,87.7602,-16.6,3.53
533,el retorno,67,CO,1613009175,64,2.3302,-72.6276,78.1,3.8
534,ovre ardal,0,NO,1613009176,80,61.3167,7.8,-0.54,5.37
535,tipuani,100,BO,1613009178,86,-15.5648,-68.0185,68.7,1.05
536,miri,40,MY,1613009180,89,4.4148,114.0089,82.4,3.44
537,inhambane,0,MZ,1613009058,83,-23.865,35.3833,78.49,13.13
538,iracoubo,64,GF,1613009183,84,5.4802,-53.2011,77.25,13.18
539,yangjiang,0,CN,1613009184,56,21.85,111.9667,68,5.84
540,baiao,97,BR,1613009186,94,-2.7906,-49.6717,74.79,3.74
541,catalina,66,US,1613009187,30,32.5056,-110.9211,64,5.48
542,boyuibe,69,BO,1613009188,92,-20.4167,-63.2833,60.42,3.31
543,garoua,92,CM,1613009189,20,9.3,13.4,68.47,1.12
544,sarandi,81,BR,1613009190,88,-23.4436,-51.8739,66.25,5.95
